名字,开放时间,评分,建议游玩时间,门票,来源城市
"和顺图书馆Heshun Library","具体开放时间请咨询景区",4.5,1.5,55,保山
"银杏村Yinxing Village","8:20-19:00",4.2,2.5,30,保山
"艾思奇纪念馆Aisiqi Memorial Hall","8:00-20:00，具体开放时间详见景区公示。",4.4,1.5,55,保山
"元龙阁Yuanlong Pavilion","全年 全天开放",4.5,0.75,236,保山
"寸氏宗祠Inch Ancestral Hall","7:00-18:00",4.4,0.75,55,保山
"高黎贡山国家级自然保护区Gaoligongshan National Nature Reserve","全年 全天开放",4.7,2,7,保山
"怀胎井Pregnancy Well","全年 8:30-17:30",4.5,1.5,0,保山
"腾冲柱状节理Tengchong Columnar Jointing","全天开放",4.1,4,35,保山
"霁虹桥遗址Jihongqiao Relic Site","全年 全天开放",5,0.5,10,保山
"清平洞Qingpingdong","6:00 - 19:00",4.7,3,0,保山
"华侨城·秘境森林乐园","全年 10:00-18:00;全年 10:30-18:00",4.8,12,50,保山
"西九华山风景区Xijiuhua Mountain Scenic Area","8:00-18:00",4,12,28,信阳
"东坡书院Dongpo Academy","8:30-17:30",4.4,1,23,儋州
"海南热带植物园Hainan Tropical Botanical Garden","8:00-16:30",4.2,2.5,25.9,儋州
"海花岛双子沙滩Twin Sands Beach, Huadao, South China Sea",,5,2.5,0,儋州
"儋州蓝洋樱花乐园","全年 08:00-18:00",4.2,2,35,儋州
"儋州市博物馆Danzhoushi Museum","9:00-17:00  (周一闭关）",4,2.5,0,儋州
"八一总场","全天",3,2,0,儋州
"石花水洞Shihua Water Tunnel","全年 09:00-17:00",4.5,1.5,60,儋州
"慕士塔格峰Mushitage Peak","全年 全天开放",4.9,12,2,克孜勒苏柯尔克孜
"慕士塔格峰-喀拉库勒湖景区Karakul Lake","全年：10:00-20:00",4.7,2.5,44,克孜勒苏柯尔克孜
"怪柳林景区Guailiulin Scenic Area","10:00-19:30",4.5,12,38,克孜勒苏柯尔克孜
"克州冰川公园Kezhou Glacier Park","5/1-10/31 10:00-19:00",4,3.5,44,克孜勒苏柯尔克孜
"阿图什天门景区Atushi Tianmen Scenic Area","10:00-19:30，具体开放时间详见景区公示。",4.5,2.5,43,克孜勒苏柯尔克孜
"独山子大峡谷Dushanzida Canyon","1/1-3/31 11:00-18:00;4/1-12/31 10:00-19:30",4.4,2.5,30,克拉玛依
"世界魔鬼城Ghost City in Wuerhe","11/1-03/25 10:30-18:00;6/1-10/31 09:30-19:30",4.4,2.5,61,克拉玛依
"黑油山Heiyou Mountain","全年 10:00-19:30",4.1,0.35,39,克拉玛依
"乌尔禾影视城","早10:00到-----晚20:00",4.8,3.5,60,克拉玛依
"万佛湖风景区Wanfo Lake","全年 08:00-17:00",4.3,21.6,93.5,六安
"皖西大裂谷West Anhui Great Rift Valley","全年 08:00-17:00",4.4,12,56,六安
"大别山Dabie Mountains","全年 全天开放",4.7,3.5,80,六安
"寿县古城Shouxian County (ancient city)","全天",4.6,3,198,六安
"大别山主峰景区白马尖Baimajian in the Main Scenic Area of Dabie Mountain","7:00-17:00",4.2,4.5,80,六安
"珍珠泉The Pearl Spring","全年 8:00-18:00",4.2,1.5,198,六安
"佛子岭水库Foziling Reservoir","8:00-16:00",4.1,1.5,46,六安
"万佛山Mount Wanfo","全年 08:00-17:30",4.5,72,60,六安
"燕子河大峡谷Swallow River Grand Crayon","旺季（4月1日-10月31日）7:00-18:00；淡季（11月1日-次年3月31日）8:30-16:00。",4.5,12,45,六安
"铜锣寨Tongluozhai","全年 07:00-17:00",4.6,12,38,六安
"八公山国家森林公园","7:00-18:00",2.5,4,40,六安
"龙津溪地","11/1-3/15 08:00-18:00;3/16-10/31 08:00-18:30",3.2,1.25,48,六安
"文峰书院-霍山珍稀文化艺术馆Huoshan Rare Culture and Art Museum, Wenfeng Academy",,5,1.5,88,六安
"盘州西冲玉带旅游度假区","全年 09:00-18:00",3,108,39.9,六盘水
"红二、红六军团盘县会议会址陈列馆Hong'er、Hongliujuntuan Panxian Huiyi Huizhi Exhibition Hall","全年 周二-周日 9:00-16:00",4,1.5,0,六盘水
"梅花山旅游景区Meihua Mountain Tourism Sceneic Area","9:00-17:00",4.4,12,128,六盘水
"白塔山公园Baitashan Park","全年 6:30-19:30",4.6,2.5,0.6,兰州
"吐鲁沟国家森林公园Tulugou National Forest Park","8:00-18:00",4.3,5,50,兰州
"兰山公园Lanshan Park","全年 全天开放",4.6,2.5,7,兰州
"黄河索道Huanghe Ropeway","全年 09:00-18:00",4.5,1.5,45,兰州
"河口古镇Hekou Ancient Town",,4.1,3.5,1,兰州
"黄河铁桥Yellow River Steel Bridge","全年 全天开放",4.6,1,99,兰州
"黄河母亲雕塑Yellow River Mother Sculpture","全年 全天开放",4.5,0.75,268,兰州
"兰州城隍庙Lanzhou City God Temple","全年 9:00-17:00",4.4,1.5,5,兰州
"兴隆山自然保护区Xinglongshan Natural Reserve","8:00-17:00",4.4,12,40,兰州
"两江源头","全天",2,0.5,0,兰州
"五泉山公园Wuquanshan Park","全年 8:00-20:00",4.6,2.5,9,兰州
"仁寿山公园Renshoushan Park","全年 全天开放",4.5,1,3,兰州
"雁滩公园Yantan Park (North Gate)","全年 08:00-21:00",4.5,1.5,7,兰州
"八盘峡ba pan xia","全天",4.2,1,0,兰州
"青城镇Qingcheng Village","4/1-10/31 08:00-18:00;11/1-3/31 09:00-17:30",4.3,72,9,兰州
"水上清真寺","开放时间：平日8:00-17:00，周末9:00-11:00，周五不开放。",4,1.5,0,兰州
"石佛沟国家森林公园Lanzhou Shifo Valley National Forest Park","全年 8:00-18:00",4,3,5,兰州
"八路军兰州办事处纪念馆Memorial of Eighth Route Army Office","全年 周二-周日 9:00-16:30",4.7,1,0,兰州
"兰州大学(天水南路校区)Lanzhou University (Tianshui South Road Campus)","全天开放；疫情期间禁止外来人员进入。",4.6,2.5,0,兰州
"奥伦布坎景区Orenbukan Scenic Area","1/1-10/30 08:00-17:00",4.1,12,120,兴安盟
"阿尔山国家森林公园Arxan National Forest Park","全年 08:00-17:00",4.3,108,234.5,兴安盟
"驼峰岭天池Tuofengling Tianchi","全年 7:00-18:00",4.6,1.5,3,兴安盟
"石塘林Sitanglin Geological Site","全年 8:00-17:00",4.6,2.5,3,兴安盟
"玫瑰峰Rose Peak","暂时停业，具体营业（开放）时间详见景区公示。约为每年4-11月，冬季会关闭。",4.2,2,3,兴安盟
"龟背岩Tortoise Back Rock","8:00-17:00",4.2,1,180,兴安盟
"大峡谷","8:00-17:00",4,1,180,兴安盟
"七仙湖草原Qixian Lake Grassland","全天开放",2.5,72,3,兴安盟
"乌苏浪子湖","全天",4.5,1.5,3,兴安盟
"地池","8:00-17:00",3.7,1,180,兴安盟
"巴尔虎右旗Xin Barag Right Banner","全天",4,4,0,兴安盟
"摩天岭Motianling Mountain","全年 7:30-18:00",4,72,1,兴安盟
"天骄天骏生态旅游度假区Tianjiao Tianjun Ecological Tourist Resort","全年 08:30-19:00",4.5,2.5,100,兴安盟
"鹿园Deer Park","9:00-17:30",2.7,12,30,兴安盟
"石板河景区Shibanhe Sceneic Area","10/16-4/30 09:00-17:00;5/1-10/15 08:30-17:30",4.8,2,30,内江
"圣水禅林Shengshui Temple","全年 8:00-17:00",4.5,1.5,5,内江
"隆昌石牌坊群Longchang Memorial Stone Archways","全天开放",5,1.5,10,内江
"隆昌万花谷Longchang Wanhua Valley","全年 08:30-18:00",4,2.5,20,内江
"张大千纪念馆Zhang Daqian Memorial Hall","全年 周二-周日 09:30-10:10,10:30-11:10,14:00-14:40,15:00-15:40",4.3,0.5,0,内江
"川南大草原Southern Sichuan Prairie","全年 08:30-17:30",3.8,180,40,内江
"邛海国家湿地公园Qionghai National Wetland Park","全年 06:00-22:00;全年 06:00-21:00",4.5,2,0,凉山
"泸山Lushan","9:00-18:00",4.4,2.5,65,凉山
"草海Seagrass","全年 全天开放",4.5,1.5,70,凉山
"走婚桥Zouhun Bridge (Walking Marriage Bridge)","全年 全天开放",4.5,0.4,14,凉山
"情人滩Qingrentan","全天开放",4.5,0.5,70,凉山
"西昌卫星发射中心Xichang Satellite Launch Center","全年 08:00-17:30",4.3,1.5,25,凉山
"螺髻山Luoji Mountain","8:30-17:30；国家法定节假日：游客中心售票7:30-15:30；索道售票8:00-16:30。 非节假日：游客中心售票8:00-15:00；索道售票8:30-16:00。",4.5,3,87.5,凉山
"安哈彝寨仙人洞Anha Yizhai Fairy Cave","全年 09:00-17:00",4.3,1.5,40,凉山
"大嘴村Dazui Village","全年 全天开放",4.6,1,0,凉山
"灵山寺The Lingshan Temple","景区暂时停业，详情请以景区公示为准；原开放时间：8:30-16:00",4.4,1,58,凉山
"包头星空艺术馆Baotouxingkong Art Museum",,2.7,2,35,包头
"希拉穆仁草原拉托维亚旅游接待点","全年 全天开放",5,12,0,包头
"包头古城文化旅游区Baotou Ancient City Cultural Tourist Area",,4,12,7,包头
"故宫博物院The Palace Museum","全年 周一 全天不开放 ;04/01-10/31 周二-周日 08:30-17:00;11/1-3/31 周二-周日 08:30-16:30;劳动节,清明节,端午节,国庆节,中秋节 08:30-17:00",4.8,12,125,北京
"八达岭长城Badaling Great Wall","全年 07:30-16:00",4.7,3.5,35,北京
"古北水镇Gubei Water Town","全年 09:00-23:00",4.7,108,140,北京
"天安门广场Tiananmen Square","全年 5:00-22:00",4.8,1.5,103,北京
"前门大街Qianmen Street","全天开放",4.6,1.5,109,北京
"中国国家博物馆National Museum of China","全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00",4.8,3.5,188,北京
"什刹海Shichahai","全天开放",4.7,3,10,北京
"圆明园Old Summer Palace","全年 07:00-18:00",4.7,4.5,10,北京
"王府井Wangfujing","全年 全天开放",4.5,3,49,北京
"恭王府Prince Gong's Mansion","全年 周二-周日 08:30-17:00;全年 周一 全天不开放 ;中国法定节假日 08:30-17:00",4.7,3,40,北京
"南锣鼓巷Nanluoguxiang","全年 10:00-21:00",4.5,3,0.2,北京
"北京动物园Beijing Zoo","11/01-03/31 07:30-18:00;04/01-10/31 07:30-19:00",4.5,3,9.8,北京
"清华大学Tsinghua University","校园参观开放时间为双休日、法定节假日及寒暑假期间。开放日入校时间：9:00和14:00。寒暑假期间每周一为校园休整日，不对外开放。如遇校内调休、调课、重要活动或极端天气等不宜开放的情况，暂停校园参观。疫情期间暂停校外人员参观。",4.7,1.5,3,北京
"玉渊潭公园Yuyuantan Park","全年 07:15-17:30",4.7,3,12.9,北京
"北京野生动物园Beijing Wildlife Park","全年 09:00-17:00",4.7,5,145,北京
"北京自然博物馆Beijing Museum of Natural History","全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00",4.6,2.5,93,北京
"北京海洋馆Beijing Aquarium","11/1-3/31 10:00-16:30;4/1-10/31 09:00-17:30",4.5,4,169,北京
"北京后花园（白虎涧）风景区Back Garden (White Tiger Gully) Natural Scenic Area","8:00-17:00",4.1,4.5,39.9,北京
"北京天文馆Beijing Planetarium","全年 周三-周日 09:00-16:30;全年 周一-周二 全天不开放 ;中国法定节假日 09:00-16:30",4.5,2.5,68,北京
"五道营胡同Wudaoying Alley","全年 全天开放",4.6,1.5,100,北京
"爨底下村Cuandixia","全年 全天开放",4.5,108,7,北京
"北海公园Beihai Park","4/1-10/31 06:00-21:00;11/1-3/31 06:30-20:00",4.7,3,17.9,北京
"黄花城水长城Huanghuacheng Underwater Great Wall","全年 08:30-17:00;全年 08:00-18:00;全年 08:00-17:00;全年 08:30-16:00",4.7,3.5,58,北京
"北京平谷金海湖Beijing Pinghu District Jinhai Lake","3/1-11/15 08:30-17:30",4.4,1.5,23,北京
"北京凤凰岭景区Fenghuangling Natural Scenic Area","全年 07:00-17:00",4.6,6,25,北京
"石林峡ShilinGorge","全年 08:00-17:00",4.5,4.5,68,北京
"雁栖湖Yanqi Lake","3/1-11/14 08:00-17:30;11/15-2/28 08:30-17:00",4.5,12,42,北京
"白瀑寺Baipu Temple","全年 08:00-17:00",4.5,2.5,1,北京
"明十三陵Ming Tombs","全年 08:30-16:30",4.5,3.5,20,北京
"中国人民革命军事博物馆Chinese People's Revolutionary Military Museum","全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00",4.7,3,168,北京
"毛主席纪念堂Chairman Mao Memorial Hall","周二-周日9:00-12:00（国家法定节假日、有关纪念日、天安门广场有活动另行通知）；周一固定闭馆。",4.6,0.75,88,北京
"国家植物园（原北京植物园）Beijing Botanical Garden","3/16-11/15 06:00-21:00;11/16-3/15 06:30-19:00",4.7,3.5,5,北京
"香山公园Fragrant Hills Park","开放时间：4月1日至11月15日6:00--18:30；11月16日至次年3月31日6:00--18:00；景点开放时间详见景区公示。",4.7,3,5,北京
"箭扣长城Jiankou Great Wall","全年 全天开放",4.6,1.5,7,北京
"国子监Guozijian","8:30-16:30，15:30停止入场，周一闭馆",4.7,1.5,118,北京
"大觉寺Dajue Temple","全年 09:00-17:00",4.6,1,1.4,北京
"红螺寺Hongluo Temple","全年 08:30-17:00",4.8,3.5,54,北京
"石花洞Shihua Cave","10/16-3/31 09:00-15:00;4/1-10/15 08:30-16:20",4.6,2.5,70,北京
"北京汽车博物馆Beijing Automobile Museum","周二-周日9:00-17:00，周一 不开放。",4.7,1.5,24.7,北京
"故宫珍宝馆The Antiquarium of The Palace Museum","4/1-10/31 周二-周日 08:30-17:00;4/1-10/31 周一 全天不开放 ;11/1-3/31 周二-周日 08:30-16:30;11/1-3/31 周一 全天不开放",4.8,1,74.8,北京
"中华民族博物院China Ethnic Culture Park","全年 08:30-17:00",4.5,4.5,45,北京
"龙门涧风景区Scenic Spots of Longmenjian","8:00-19:00",4.3,12,35,北京
"孔庙和国子监博物馆Confucius Temple and The Imperial College Museum","全年 周一 全天不开放 ;5/1-10/31 周二-周日 08:30-18:00;劳动节 08:30-18:00",4.7,3.5,118,北京
"水立方（国家游泳中心）Water Cube (National Aquatics Center)","目前暂停对外开放，仅保留西侧7、8号门正常对外开放。详情请见官网",4.5,2,30,北京
"司马台长城Simatai Great Wall","长城日游9:00-15:00，夜游17:30-21:00。",4.7,3,40,北京
"帽儿胡同Mao’er Hutong","全年 全天开放",4.7,1.5,119,北京
"中国航空博物馆China Aviation Museum","全年 周二-周日 08:30-16:30;全年 周一 全天不开放 ;中国法定节假日 08:30-16:30",4.6,1.5,1.7,北京
"北京国际鲜花港Beijing International Flower Port","全年 09:00-17:00",4.6,2.5,30,北京
"中国古动物馆The Paleozoological Museum of China","全年 周二-周日 09:00-16:30;全年 周一 全天不开放 ;中国法定节假日 09:00-16:30",4.6,1.5,5,北京
"北京园博园Beijing Garden Expo Park","4/1-10/31 07:00-19:00;11/1-3/31 07:30-18:00",4.6,72,1.5,北京
"红砖美术馆Red Brick Art Museum","展厅：夏季5月1日-9月30日10:00-18:00（最后入场17:30），冬季10月1日-次年4月30日10:00-17:30（最后入场 17:00） ；周一闭馆（遇节假日除外）（春节2021年2月6日-2月17日闭馆）。",4.3,1.5,120,北京
"首都博物馆Capital Museum","全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00",4.8,2.5,1280,北京
"野鸭湖国家湿地公园Beijing Wild Duck Lake National Wetland Park","9:00-16:00",4.5,3,49.5,北京
"南宫五洲植物乐园Nangong Wuzhou Botanical Amusement Park","1/1-8/31 周一-周四 10:00-17:30;1/1-8/31 周五 10:00-20:00;1/1-8/31 周六 09:00-20:00;1/1-8/31 周日 09:00-17:30;9/1-12/31 周一-周五 10:00-17:30;9/1-12/31 周六-周日 09:00-17:30",4.7,12,77,北京
"九眼楼Jiuyanlou Mountain","8:00-18:00",4,1.5,40,北京
"后海公园Houhai Park","全年 全天开放",4.7,1.5,10,北京
"八达岭野生动物世界Badaling Wildlife World","3/15-10/20 08:00-17:00;10/21-3/14 08:30-16:30",4.2,3.5,85,北京
"紫竹院公园Purple Bamboo Park","全年 06:00-21:00",4.7,1.5,120,北京
"白塔寺Miaoying Temple (Baita Temple)","全年 周二-周日 09:00-17:00;全年 周一 全天不开放",4.7,1.5,120,北京
"双龙峡Shuanglong Gorge","全年 08:00-17:30",4.5,3,15,北京
"北京喇叭沟原始森林公园Labagoumen National Forest Park","全年 周六-周日 07:30-18:00;全年 周一-周五 07:30-17:30",4.4,2.5,7,北京
"京东大峡谷Jingdong Grand Canyon","7:00-17:00",4.4,3.5,67,北京
"灵水村Lingshui Village","8：30-17：30；详情以景区公示为准。",4.3,12,20,北京
"保利艺术博物馆Poly Art Museum","周一-周六9:00-17:00，16:00停止售票，16:30停止入馆；周日及国家法定节假日闭馆。",4.6,0.75,50,北京
"银山塔林Yinshan Pagoda Forest","8:00-16:00，16:00停止售票。",4.7,1,15,北京
"卧佛寺Temple of the Sleeping Buddha (Wofosi)","具体开放时间请咨询景区",4.7,1.5,5,北京
"涠洲岛Weizhou Island","5/1-10/31 08:00-18:00;11/1-4/30 08:00-17:30",4.3,108,98,北海
"北海银滩旅游度假区Beihai Silver Beach Resort","全天开放",4.4,3,80,北海
"北海老街Beihai Old Street","全年 09:00-21:30",4.6,2.5,9.8,北海
"五彩滩Wucai Beach","包含于涠洲岛景区，景区开放时间5月1日-10月31日8:00-18:00，11月1日-次年4月30日8:00-17:30。景点开放时间详见景区现场公示。",4.3,3.5,599,北海
"侨港风情街Qiaogang Fengqing Street","全年 全天开放",4.1,1.5,9,北海
"涠洲岛灯塔Weizhou Island Lighthouse","8:00-17:30",4.2,0.75,599,北海
"北海金海湾红树林生态旅游区Beihai Golden Bay Mangrove Ecotourism Area","1/1-10/7 07:00-19:00;10/7-12/31 07:30-19:00",4.5,3,59.85,北海
"冠头岭国家森林公园Guantouling National Forest Park","全年 全天开放",3.9,2,268,北海
"石螺口海滩Shiluokou Beach","5/1-10/31 08:00-18:00;11/1-12/31 08:00-17:30",4.4,2.5,168,北海
"北海园博园Beihai International Garden and Flower Expo Park","9:00-22:00",4.4,2.5,279,北海
"北部湾广场Beibuwan Square","全年 全天开放",4.2,2.5,9,北海
"海洋之窗Beihai Ocean Garden","全年 08:00-18:00",4,2.5,147,北海
"北海海底世界Beihai Undersea World","5月1日-10月31日8:00-18:00;11月1日-次年4月30日8:00-17:30；潜水表演时间：第一场9:00，第二场10:00，第三场11:00，第四场14:00，第五场15:00，第六场16:00。",4.5,2.5,148,北海
"海滩公园Beach Park","全年 全天开放",4.4,2.5,80,北海
"北海大江埠Beihai Dajiang Wharf","01/01-12/31 08:00-17:00",3.5,2.5,69,北海
"涠洲盛塘天主教堂Catholic Church","8:00-17:30",4.3,1.5,98,北海
"鳄鱼山景区Crocodile mountain Scenic Area","包含于涠洲岛景区，景区开放时间5月1日-10月31日8:00-18:00，11月1日-次年4月30日8:00-17:30。景点开放时间详见景区现场公示。",4.5,3.5,599,北海
"圣母堂St. Mary's Church","全年 08:30-18:00",3.8,1.5,5,北海
"三婆庙Sanpo Temple","8:00-18:00",3.8,0.75,0,北海
"火山地质博物馆","08:30-17:30",3.7,1,0,北海
"北海近代建筑","全天",3.5,1.5,0,北海
"斜阳岛Xieyang Island","全年 全天开放",4.5,12,3,北海
"中石化原油码头Sinopec Crude Oil Terminal","全年 全天开放",4.1,1,0,北海
"长青公园","8:00-16:30",4,3,0,北海
"相思湖水库Xiangsi Lake","全年 全天开放",4.3,1.5,0,北海
"涠洲岛主标志广场Weizhou Island Landmark Square","9:00-17:00；具体开放时间以景区公示为准。",4.1,0.75,1,北海
"北海还珠堂","全天",5,1.5,1578,北海
"鳄鱼山","涠洲岛全天开放，涠洲岛岛内景点开放时间：8:00-18:00。",4.6,2.5,98,北海
"侨港镇","全天",4.7,3,0,北海
"蓝桥","全年 全天开放",1,0.75,0,北海
"观复赶海Guanfu Beach Combing Area","1/1-12/31 06:00-17:00",5,2.5,38,北海
"金顶","索道运行时间5：30--18：00",4.6,1.5,243,十堰
"上津古城","全天",4.4,2.5,0,十堰
"南岩","7:00-17:00",4.7,1.5,243,十堰
"玉虚宫Yuxu Temple","全年 8:00-17:30",4.4,1,5,十堰
"武当太极湖Wudang Taiji Lake","9:00-17:00，具体开放时间详见景区现场公示。",4.4,12,2,十堰
"房县温泉","全天",3.5,3,80,十堰
"南天门Heavenly Southern Gate","全年 7:30-17:00",4.5,0.75,243,十堰
"太子岩Prince Rock","全年 周一-周五 7:00-17:30;全年 周六-周日 6:30-17:30",3.8,0.4,243,十堰
"雷神洞Thunder God Cave","全年 7:30-17:00",4.4,0.35,243,十堰
"五龙宫Wulong Temple","全年 7:00-18:00",4.4,1.5,0,十堰
"野人谷Savage Valley","8:00-18:00",4.4,12,60,十堰
"牛首山文化旅游区Niushou Mountain Cultural Tourism Zone","全年 08:30-17:30",4.7,5,85,南京
"南京博物院Nanjing Museum","全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00",4.6,3,600,南京
"鸡鸣寺Jiming Temple","全年 07:00-17:30;全年 07:30-17:00",4.5,1.5,4.2,南京
"夫子庙Confucius Temple","全年 09:00-22:00",4.5,2,0,南京
"南京总统府Presidential Palace of Nanjing","3/1-10/14 周二-周日 08:30-18:00;10/15-2/28 周二-周日 08:30-17:00;全年 周一 全天不开放 ;中国法定节假日 08:30-18:00",4.7,3,35,南京
"老门东历史街区Laomendong Historic District","全年 全天开放",4.6,1.5,0.7,南京
"侵华日军南京大屠杀遇难同胞纪念馆The Memorial Hall of the Victims in Nanjing Massacre by Japanese Invaders","全年 周二-周日 08:30-17:30;全年 周一 全天不开放",4.8,2,0,南京
"明孝陵Ming Xiaoling Mausoleum","2/1-11/30 06:30-18:30;12/1-1/31 07:00-17:30",4.6,3,60,南京
"玄武湖景区Xuanwu Lake","全年 08:00-17:00",4.7,4,59.9,南京
"达摩古洞Damo Ancient Cave","4/1-10/31 08:30-17:30;11/1-3/31 08:30-17:00",4.3,2.5,19.9,南京
"栖霞山Qixia Mountain","全年 08:00-16:00",4.6,2.5,23,南京
"钟山风景名胜区Zhongshan Mountain National Park","全年 全天开放",4.6,108,60,南京
"南京1912街Nanjing 1912 Pub Street","全年 11:30-02:00",4.5,2,1912,南京
"红山森林动物园Hongshan Forest Zoo","全年 08:30-18:00",4.6,5,40,南京
"美龄宫Meiling Palace","全年 07:30-18:00",4.7,1.5,29.5,南京
"南京海底世界Nanjing Underwater World","全年 08:30-17:00",4.5,3.5,108,南京
"雨花台Yuhuatai","全年 周一 全天不开放 ;全年 周二-周日 08:30-17:00;中国法定节假日 08:30-17:00",4.6,3,380,南京
"南京城墙Nanjing City Wall","全年 08:30-17:00",4.6,5.5,30,南京
"瞻园Zhan Garden","8:00-20:30",4.6,2.5,30,南京
"江苏园博园Jiangsu Garden Expo Park","4/16-12/31 09:00-20:30",4.2,1.5,99,南京
"梅花山Meihuashan","6:30-18:00",4.7,3,60,南京
"乌衣巷Wuyi Lane","全天开放",4.3,1,0,南京
"南京大学Nanjing University","全年 全天开放",4.7,2,2.5,南京
"金牛湖野生动物王国Jinniu Lake Safari Park","全年 09:00-16:00",4.2,4,120,南京
"夫子庙秦淮风光带Confucius Temple Qinhuai River Scenery Belt","全天开放",4.7,3,45.8,南京
"石塘竹海Shitang Bamboo Sea","全年 全天开放",4.2,2.5,18.8,南京
"南京长江大桥Nanjing Yangtze River Bridge","全年 全天开放",4.6,1.5,199,南京
"中国科举博物馆(江南贡院)China Imperial Examination Museum (Jiangnan Gongyuan)","全年 09:00-21:00;中国法定节假日 09:00-22:00",4.7,1.5,45.8,南京
"紫金山天文台Purple Mountain Observatory","全年 09:00-17:00",4.5,1.5,15,南京
"南京市博物馆Nanjing Municipal Museum","全年 周二-周日 09:00-18:00;全年 周一 全天不开放",4.5,1.5,25,南京
"中华门瓮城Zhonghua Gate","全年 08:30-17:00",4.6,1.5,45,南京
"梅园新村纪念馆Meiyuan Xincun Memorial Hall","全年 09:00-05:00",4.7,1.5,6,南京
"高淳老街Gaochun Old Street","景区全天开放，景区内各景点开放时间不一，详情可电话咨询。",4.4,2,25,南京
"莫愁湖景区Mochou Lake Park","全年 07:00-18:00",4.3,2.5,0.2,南京
"六朝博物馆The Oriental Metropolitan Museum","全年 周一 全天不开放 ;全年 周二-周日 09:00-17:30;中国法定节假日 09:00-17:30",4.6,2.5,27,南京
"中山陵音乐台","7:00-18:00",3.9,1,10,南京
"南京中山植物园Nanjing Zhongshan Botanical Garden","8:30-17:00",4.5,2.5,14,南京
"南京云锦博物馆Nanjing Yunjin Museum","全年 10:00-16:00",4.5,1.5,0,南京
"中山码头Zhongshan Ferry Terminal","全年 06:00-19:00",4.6,1,2,南京
"江宁织造博物馆Jiangning Imperial Silk Manufacturing Museum","全年 周一 全天不开放 ;全年 周五-周六 09:00-21:00;全年 周二-周四,周日 09:00-17:30;中国法定节假日 09:00-17:30",4.5,1.5,27,南京
"东南大学Southeast University","全天开放，疫情期间禁止外来人员进入。",4.6,2.5,0,南京
"汤山矿坑公园Tangshankuangkeng Park","1/1-3/31 周一-周五 09:00-17:00;4/1-6/30 周六-周日 09:00-18:00",4.4,1.5,48,南京
"南京科技馆Nanjing Science and Technology Museum","全年 周三-周日 09:00-17:00;全年 周一-周二 全天不开放",4.2,2.5,30,南京
"阅江楼Yuejiang Tower","全年 08:00-17:00",4.7,2,35,南京
"清凉山公园Qingliangshan Park","全年 9:00-17:00",4.5,1.5,7,南京
"汤山翠谷现代农业示范园","9:00-16:30",3.5,2,50,南京
"紫金山山顶公园Shanding Park","全年 全天开放",4.9,1.5,4,南京
"南京古生物博物馆Nanjing Paleontology Museum","全年 周三-周日 09:00-17:00;全年 周一-周二 全天不开放",4.6,1.5,9,南京
"鱼嘴湿地公园","全天",3,2,0,南京
"金牛湖风景区Jinniu Lake","全年 周一-周五 08:30-17:30;全年 周六-周日 08:00-18:00",4.4,4,36,南京
"凌云山风景区Lingyun Mountain Scenic Area","5/1-10/31 08:30-17:30;11/1-4/30 08:30-17:00",4.8,2.5,9,南充
"凤仪湾中法农业科技园Fengyi Bay Sino-French Agricultural Science and Technology Park",,4.9,0.75,27,南充
"清代四川贡院Sichuan Qing Dynasty Imperial Examination Hall","夏季：8:00-18:30；冬季：8:00-18:00。",4.5,2,50,南充
"朱德故里景区Zhu De's Hometown Scenic Area","1/1-4/30 周二-周日 08:30-17:00;1/1-4/30 周一 全天不开放 ;5/1-5/5 周二-周日 08:30-17:00;5/6-12/31 周二-周日 08:30-17:00;5/6-12/31 周一 全天不开放",4.6,12,28,南充
"升钟湖Shengzhong Lake","全天开放，景区内部分景点未开放，详情以景区现场公示为准。",4.5,1,32,南充
"太蓬山Tai Peng Mountain","全年 08:00-18:00",4.7,1,100,南充
"阆中古城地质矿物博览馆Langzhong Ancient City Geological Exhibition Hall","全年 09:00-18:00",4.9,2.5,45,南充
"升钟湖娲仙谷Shengzhong Lake Waxian Valley",,4.2,12,48,南充
"青秀山Qingxiu Mountain","全年 06:00-23:59",4.7,12,18,南宁
"扬美古镇Yangmei Ancient Town","全年 8:30-18:00",3.8,72,10,南宁
"广西民族博物馆Guangxi Museum of Nationalities","周二-周日9:30-17:00（16:15停止入馆，16:45清场），逢周一全天闭馆整修（国家法定节假日除外）。",4.7,1.75,9,南宁
"花花大世界Great Flower World","9:00-17:00",4.4,12,32,南宁
"南宁动物园Nanning Zoo","全年 07:30-17:30",4.4,4.5,50,南宁
"云顶观光Genting Sightseeing","周一-周五9:00-22:00，周六、周日9:00-22:30。",4.2,2,40,南宁
"南宁大明山Daming Mountain","全年 08:00-17:00;6/2-6/8 全天不开放",4.5,5,120,南宁
"石门森林公园Shimen Forest Park","全年 全天开放",4.5,2.5,6,南宁
"广西药用植物园Guangxi Medical Botanical Garden","8:00-17:30",4.3,2.5,20,南宁
