名字,开放时间,评分,建议游玩时间,门票,来源城市
"白鹿洞书院White Deer Grotto Academy","全年 07:30-18:00",4.6,1.5,"{'白鹿洞书院门票成人票\n\n': ['¥35起'], '白鹿洞书院门票双人票\n\n': ['¥70起'], '秀峰门票+三叠泉门票+观音桥景区门票+白鹿洞书院门票+碧龙潭门票+桃花源门票成人票\n\n': ['¥110起']}",九江
"碧龙潭Bilong Pool","7:00-17:00",4.4,1.5,"{'碧龙潭门票成人票\n\n': ['¥19起'], '碧龙潭门票儿童票\n\n': ['¥19起'], '碧龙潭门票家庭票(2大1小)\n\n': ['¥39起']}",九江
"锁江楼River-locking Tower Pagoda","全年 09:00-17:30",4.2,1.5,"成人票20元",九江
"庐山东林大峡谷Lushan Donglin Canyon","7:30-17:30",4.5,1.5,"{'庐山东林大峡谷门票成人票\n\n': ['¥35起'], '东林大峡谷电子导览门票大小同价\n\n': ['¥6起']}",九江
"花径公园","6:00-20:00",4,1,"{'庐山网红1日游【12人上限团一日览尽三叠泉纯玩市区上门接】\n\n': ['¥239起'], '庐山浓缩1日游 原创迷你8人团全景览遍不留遗憾可升索道登山\n\n': ['¥499起'], '庐山精品1日游 上山顶23个主景点 赠云雾茶 可选16人团\n\n': ['¥52起']}",九江
"观音桥Guanyin Bridge","8:00-17:00",4.5,3.5,"{'观音桥门票成人票\n\n': ['¥40起'], '秀峰门票+三叠泉门票+观音桥景区门票+白鹿洞书院门票+碧龙潭门票+桃花源门票成人票\n\n': ['¥110起'], '观音桥驴迹电子导览（不含门票）票大小同价\n\n': ['¥8起']}",九江
"龙宫洞","8:00—17:00",3,2,"成人联票80元",九江
"石钟山Shizhong Mount (Stone Bell Mountain)","全年 08:00-17:30",4.4,1.5,"{'石钟山门票成人票\n\n': ['¥64.2起'], '石钟山门票优待票\n\n': ['¥22起'], '剑川石宝山门票成人票\n\n': ['¥45起']}",九江
"小天池Little Tianchi","具体开放时间请咨询景区",4.1,1.25,"包含于庐山景区门票内，通用于庐山景区门票。",九江
"汉阳峰Hanyang Peak",,4.4,5,"庐山风景区门票已包含，门票为：旺季（4月1日-11月31日）：180元，淡季（12月1日-次年3月31日）：135元。",九江
"秀峰Xiufeng Peak","8:00-16:30",4.6,3,"{'秀峰门票成人票\n\n': ['¥52起'], '秀峰门票儿童票\n\n': ['¥31起'], '秀峰门票学生票\n\n': ['¥31起']}",九江
"云居山真如禅寺Zhenruchan Temple",,4.6,1.5,"云居山景区门票30元，寺院不收取门票。来山朝山礼佛，持皈依证的居士可不收景区门票。",九江
"观云亭Guanyun Pavilion","全天",4.3,0.5,"包含在庐山风景区门票内。",九江
"蟠龙洞Panlong (Dragon) Cave","8:30-17:30",4.2,1,"{'蟠龙洞门票成人票\n\n': ['¥30起'], '蟠龙洞门票儿童票\n\n': ['¥20起'], '蟠龙洞门票老人票\n\n': ['¥20起']}",云浮
"云浮爱情博物馆","10：00-22：30，22：00停止入场",4.3,2,"50元",云浮
"云浮市博物馆Yunfushi Museum","全年 周二-周日 9:00-17:00",4.4,2.5,"免费",云浮
"新兴禅域小镇旅游度假区","禅域小镇园区开放时间：9:00-22:00。 《惠能传奇》(原《六组大典》)2021年2月25日-3月31日演出时间：19:50-21:00（逢周一停演）。因不可抗力等特殊原因临时停演以另行公告为准。",4.4,12,"38元",云浮
"五指山热带雨林风景区Wuzhishan Tropical Rainforest","9:00-16:00",4.3,2.5,"{'五指山热带雨林风景区门票+游览车票成人票\n\n': ['¥33起'], '五指山热带雨林风景区门票+游览车票儿童票\n\n': ['¥30起'], '五指山热带雨林风景区门票+游览车票学生票\n\n': ['¥30起']}",五指山
"五指山大峡谷漂流Grand Canyon Drifting in Wuzhishan","9/30-12/31 周六-周日 10:00-16:00;9/30-12/31 周一-周五 12:00-15:00",4.3,3,"{'五指山大峡谷漂流门票成人票\n\n': ['¥138起'], '五指山大峡谷漂流团队门票成人票\n\n': ['¥148起'], '【酒店套餐可多选】五指山水云居民宿套房1晚+含早餐+红峡谷漂流门票+雨林栈道门票\n\n': ['¥468起']}",五指山
"花戏楼Huaxi Hall","8:00-17:30",4.5,1.5,"{'花戏楼门票成人票\n\n': ['¥45起'], '花戏楼门票优待票\n\n': ['¥22.5起'], '花戏楼门票亲子票(1大1小)\n\n': ['¥65起']}",亳州
"南京巷钱庄Nanjing Alley Qianzhuang","8:30-17:30；详情以景区公示为准。",4.3,3,"{'南京巷钱庄门票成人票\n\n': ['¥25.5起'], '南京巷钱庄门票优待票\n\n': ['¥13.5起'], '南京巷钱庄门票亲子票(1大1小)\n\n': ['¥39起']}",亳州
"道德中宫Lao Tzu Memorial Hall","08:00—18:00。",4.2,1.5,"20元",亳州
"江宁会馆Jiangning Association","全年 8:00-18:00",4.3,1.5,"门票14人民币",亳州
"曹操运兵道Cao Cao Military Transport Tunnel","8:00-17:30",4.6,4,"{'曹操运兵道门票成人票\n\n': ['¥45起'], '曹操运兵道门票优待票\n\n': ['¥22.5起'], '曹操运兵道门票亲子票(1大1小)\n\n': ['¥65起']}",亳州
"魏武祠Weiwu Temple","8:00-17:30",4.2,1.5,"{'魏武祠门票成人票\n\n': ['¥27起'], '魏武祠门票优待票\n\n': ['¥13.5起'], '魏武祠导游讲解服务大小同价\n\n': ['¥5起']}",亳州
"花之谷运动探险乐园","全年 09:00-17:30",3.5,2.5,"{'花之谷运动探险乐园A套餐大小同价\n\n': ['¥38起'], '花之谷运动探险乐园B套餐大小同价\n\n': ['¥68起']}",亳州
"华佗百草园Huatuo Baicao Garden","全年8:30-17:30",4.2,1.5,"{'华佗百草园门票成人票\n\n': ['¥10起']}",亳州
"涡阳县老子博物馆Woyangxian Laozi Museum",,5,2.5,"免费",亳州
"利辛县博物馆Lixinxian Museum","全年 周二-周日 8:30-17:30",4.8,2.5,"免费",亳州
"沔阳小镇Mianyang Town","11/1-11/30(日场) 09:00-17:30,09:00-19:00;10/1-10/31(午后场) 14:30-21:00",4.1,1.75,"{'沔阳小镇门票成人票\n\n': ['¥57起'], '沔阳小镇大门票/畅行卡+观光车+千亩大湖摸鱼工具及下水衣套票成人票\n\n': ['¥138起'], '沔阳小镇观光车+千亩大湖摸鱼工具及下水衣套票成人票\n\n': ['¥89起']}",仙桃
"梦里水乡Menglishuixiang","全年 周一-周五 08:30-17:00;全年 08:00-17:30",4.6,4,"{'梦里水乡景区门票成人票\n\n': ['¥95起'], '梦里水乡景区门票学生票\n\n': ['¥50起'], '梦里水乡景区门票优待票\n\n': ['¥50起']}",仙桃
"百万花海风景区Baiwanhuahai Sceneic Area","8:00-18:00",4,2.25,"{'百万花海风景区门票大小同价\n\n': ['¥40起'], '百万花海风景区门票优待票\n\n': ['¥30起'], '百万花海电子导览服务大小同价\n\n': ['¥5起']}",仙桃
"嘉荫恐龙国家地质公园Heilongjiang Jiayin Dinosaur National Geology Park","营业状态调整频繁，建议提前咨询景区。 开放时间：开放时间8:30-16:30，16:00停止入场。",4.3,2.5,"80元",伊春
"茅兰沟国家森林公园Maolangou National Park","全年 06:00-18:00",4.4,72,"65元",伊春
"上甘岭溪水国家森林公园Xishui National Forest Park","全年 07:30-17:00",4.5,72,"40元",伊春
"朗乡玉兔仙潭风景区Langxiang Yutu Xiantan Scenic Area (North Gate)","全年 全天开放",4.8,2.5,"景区免费开放，漂流等娱乐项目另收费。",伊春
"兴安森林公园Xing'an Forest Park","全年 7:00-18:00",4.3,12,"门票免费，山顶兴安塔（楼梯）10元，观光塔（电梯）30元，汽车进山5元/7座以下，营运车辆不许进园（白天不可，晚上无人看管）",伊春
"杏花沟Xinghua Ditch","全年 全天开放",4.3,1.5,"{'新疆伊犁吐尔根杏花谷纯玩一日游【踏春赏花】\n\n': ['¥150起'], '新疆伊犁吐尔根杏花谷纯玩一日游【6人拼车小团+市区免费接+踏春赏花】\n\n': ['¥438起'], '伊犁吐尔根杏花沟一日游丨无购物无自费·含区间车含午餐丨\n\n': ['¥150起']}",伊犁
"特克斯八卦城Tekesi Bagua City","全年 全天开放",4.2,12,"{'特克斯八卦城热气球体验热气球私人订制体验\n\n': ['¥20000起'], '特克斯八卦城热气球体验热气球经典之旅体验票\n\n': ['¥780起']}",伊犁
"霍城薰衣草Huocheng Lavender Fields","具体营业状态需咨询景区",4.5,3,"不同代理商，门票价格不同详情请咨询各代理商。",伊犁
"那拉提旅游风景区Nalati Scenic Area","1/1-4/30 10:00-19:00;5/1-12/31 08:00-20:00",4.5,108,"{'那拉提旅游风景区电子导览服务大小同价\n\n': ['¥10起'], '那拉提草原1日游【2-6人轻奢小团]\n\n': ['¥556起'], '【赏花限定】那拉提+杏花沟精致小团两日游\n\n': ['¥898起']}",伊犁
"喀赞其民俗村Kazanqi Folk-custom Village","10:00-19:30，18:00停止入场",4.5,1.5,"{'自贡方特恐龙王国门票成人票\n\n': ['¥278起'], '自贡方特恐龙王国门票儿童票\n\n': ['¥199起'], '自贡方特恐龙王国门票老人票\n\n': ['¥199起']}",伊犁
"河谷草原Hegu Grassland","全天",4.6,2,"免费",伊犁
"惠远古城Huiyuan Ancient City","10:00-19:30，17:00停止入场，冬季营业时间可能会有变更，具体请以景区内公示为准",4,4.5,"{'惠远古城陈列馆门票成人票\n\n': ['¥10起'], '惠远古城钟鼓楼门票成人票\n\n': ['¥20起'], '惠远古城伊犁将军府门票成人票\n\n': ['¥45起']}",伊犁
"夏塔旅游区Xiata Tourist Area","9:30-18:00",4.3,4,"成人票：60元，区间车：20元，温泉洗浴：30元。",伊犁
"喀拉峻草原Kalajun Grassland","全年 08:00-20:00",4.5,108,"{'喀拉峻草原电子导览服务成人票\n\n': ['¥10起'], '新疆直升机特克斯基地【直升机空中俯瞰喀拉峻草原】\n\n': ['¥980起']}",伊犁
"那拉提国家森林公园Nalati National Forest Park","全年 8:30-19:00",4.6,4,"那拉提国家森林公园为那拉提旅游景区内的一个站点。需进入那拉提景区后才可游览",伊犁
"库尔德宁景区Ku'erdening Nature Reserve","9:30-20:00",4,4.5,"{'新疆库尔德宁旅游风景区电子导览服务大小同价\n\n': ['¥6起']}",伊犁
"唐布拉风景区","全天",4.9,2,"免费",伊犁
"草原石人风景区Grassland Stone Human Scenic Area","7/2-12/31 10:00-19:00",4,1,"80元",伊犁
"雪岭云杉自然保护区","9:00-17:00",5,2,"30元",伊犁
"恰西森林公园Qiaxi Forest Park","每年4月20日-10月30日：10:00-18:00",4.7,12,"30元",伊犁
"林则徐纪念馆Linzexu Memorial Hall","4/1-10/31(夏季) 周二-周四 09:30-19:30;4/1-10/31(夏季) 周一,周五-周日 全天不开放 ;11/1-3/31(冬季) 周二-周四 10:30-19:00;11/1-3/31(冬季) 周一,周五-周日 全天不开放",4.9,1,"景区暂时停业，详情请以景区公示为准。",伊犁
"帝锚·热岛乐园","全年 11:30-20:30",3.4,12,"198元",伊犁
"花海喀拉峻Kalajun Flower Sea",,5,2.5,"具体收费情况以景区现场公示为主。",伊犁
"长鹿休闲度假村","9:30-19:00，具体以园区公布为准逢周一大舞台停演各舞台演出时间详见官网http://www.chuanloo.com/Service/time.shtml",4,0.75,"票价成人票：150元（包含330元游乐金和童话动物园门票）学生票：128元（包含330元游乐金和通话动物园门票）半价票：80元（包含160元游乐金和童话动物园门票）优惠政策1.2米-1.5米儿童及60-69周岁的老人可享受半价票；更多演出票价详见官网http://www.chuanloo.com/Booking/Tickets.shtml",佛山
"岭南天地Lingnan World","全年 周一,周三-周四,周日 10:00-17:00;全年 周二 10:00-21:00",4.6,2.5,"{'岭南天地电子导览服务大小同价\n\n': ['¥7起'], '广州+西汉南越王博物馆+佛山祖庙+黄飞鸿纪念馆+岭南天地一日游【祖庙精讲/醒狮表演/无线耳麦精讲】\n\n': ['¥258起']}",佛山
"佛山祖庙Foshan Ancestral Temple","8:30-18:00，17:30停止售票",4.6,2.5,"{'佛山祖庙手机电子导游票大小同价\n\n': ['¥6起'], '【酒店套餐】佛山美的鹭湖岭南花园公寓酒店1晚+双人早餐+可加购双人汤谷/晚餐/探索王国\n\n': ['¥399起'], '广州+西汉南越王博物馆+佛山祖庙+黄飞鸿纪念馆+岭南天地一日游【祖庙精讲/醒狮表演/无线耳麦精讲】\n\n': ['¥258起']}",佛山
"逢简水乡Fengjian Water Town","全天开放，游船8:00-17:00",4.3,3.5,"{'佛山顺德逢简水乡小周庄、游船、清晖园、摄影美食1天游，可包团\n\n': ['¥135起'], '小车上门接送私家团，顺德逢简⽔乡、清晖园、华盖路寻觅地道美食1天游、一单一团，独享专属旅行\n\n': ['¥238起'], '（广州出发上门接您）佛山顺德欢乐海岸+逢简水乡+寻味美食2-6人私家小团1日游，不拼客，私属旅行\n\n': ['¥238起']}",佛山
"西樵山风景名胜区Xiqiao Mountain Scenic Area","全年 07:30-17:30",4.4,12,"{'西樵山风景名胜区门票成人票\n\n': ['¥52.3起'], '西樵山风景名胜区樵湖十八曲游船票大小同价\n\n': ['¥53起'], '西樵山风景名胜区电子导览票大小同价\n\n': ['¥0.9起']}",佛山
"清晖园Qinghui Garden","前园8:30-17:00，清晖园博物馆（内园）9:00-17:00。",4.5,2.5,"{'清晖园博物馆VIP包团讲解服务(由旅行社提供)大小同价\n\n': ['¥299起'], '清晖园（不含景区门票）电子语音中文讲解服务大小同价\n\n': ['¥4.3起'], '清晖园博物馆人工讲解(由旅行社提供)含门票成人票\n\n': ['¥88起']}",佛山
"梁园Liang Yuan","全年 09:00-17:00",4.4,1.5,"{'梁园手机电子讲解（地图自动定位，不含景区门票门票成人票\n\n': ['¥0.3起']}",佛山
"顺峰山公园Shunfeng Mountain Park","全年 06:00-22:30",4.6,2.5,"{'顺峰山公园(不含门票)手绘地图、语音讲解、路线推荐服务成人票\n\n': ['¥7起']}",佛山
"南丹山森林王国Nandanshan Discovery Park","8:30-17:30",4.8,5,"{'南丹山森林王国门票+高山玻璃桥+松鼠部落+动物剧场票成人票\n\n': ['¥95起'], '南丹山森林王国飞跃丛林套票成人票\n\n': ['¥86.5起'], '南丹山森林王国儿童游乐套票儿童票\n\n': ['¥53.5起']}",佛山
"南海湾森林生态园Nanhai Bay Forest Ecological Park","7/2-12/31 08:00-17:00;6/23-7/1 全天不开放",4.7,4.5,"{'南海湾森林生态园门票成人票\n\n': ['¥18.5起'], '南海湾森林生态园门票儿童票\n\n': ['¥12.8起'], '南海湾森林生态园门票优待票\n\n': ['¥14起']}",佛山
"南海影视城The CCTV Nanhai Movie and TV Town","全年 08:30-18:00",4.3,5.5,"{' 南海影视城门票成人票\n\n': ['¥86起'], ' 南海影视城门票儿童票\n\n': ['¥45起'], ' 南海影视城门票老人票\n\n': ['¥55起']}",佛山
"南风古灶Nanfeng Kiln","8:30-17:00",4.4,3,"{'南风古灶门票成人票\n\n': ['¥20起'], '南风古灶门票学生票\n\n': ['¥20起'], '南风古灶门票优待票\n\n': ['¥12.5起']}",佛山
"南国桃园Nanguo Peach Garden","全年 08:00-12:00,14:30-17:00",4.5,72,"{'南国桃园智能讲解（景点讲解，线路导航）不含门票服务成人票\n\n': ['¥8起']}",佛山
"三水森林公园Sanshui Forest Park","8:30-18:00（周六、日8:00-18:00）",4.2,4,"{'三水森林公园孔圣园门票成人票\n\n': ['¥20起'], '三水森林公园孔圣园门票优待票\n\n': ['¥10起'], '三水森林公园鳄鱼湖门票成人票\n\n': ['¥13起']}",佛山
"荷花奇境(三水荷花世界)Lotus Flower Wonderland (Sanshui Lotus World)","每天上午9:00至下午6:00（17:00以后不兑票）",3.7,4,"{'荷花奇境(三水荷花世界)观光票成人票\n\n': ['¥58起'], '荷花奇境(三水荷花世界)观光票优待票\n\n': ['¥35起'], '荷花奇境(三水荷花世界)观光+欢乐世界120元游乐金券成人票\n\n': ['¥78起']}",佛山
"黄飞鸿纪念馆Huang Feihong Memorial Hall","全年 8:30-18:00",4.4,0.75,"包含于祖庙博物馆内，通用祖庙博物馆门票。",佛山
"宝林寺Baolin Temple","全年 08:00-19:00",4.6,2.5,"{'宝林寺电子讲解票大小同价\n\n': ['¥7起']}",佛山
"碧玉洞Biyu Cave","8:30-16:30",4.6,0.75,"包含在西樵山风景名胜区内，通用于西樵山风景名胜区门票。",佛山
"芦苞祖庙Xujiang Ancestral House","全年 7:30-17:30",4.8,1.5,"{'芦苞祖庙电子导览服务大小同价\n\n': ['¥7起']}",佛山
"大旗头古村Daqitou Ancient Village","全年 全天开放",4.2,3.5,"{'大旗头村电子导览票大小同价\n\n': ['¥7起']}",佛山
"万福台Wanfu Platform","8:30-18:00；万福台粤剧表演每月农历初一、十五和周末，具体时间以景区当日现场公示为准。",4.7,0.4,"包含于佛山祖庙景区内，通用佛山祖庙景区门票。",佛山
"佳木斯乌苏里江Jiamusi Ussuri River","全年 全天开放",4.5,2,"{'边境东极宝塔+黑瞎子岛+淡水鱼馆2-6人拼车纯玩小团一日游\n\n': ['¥399起'], '【东极打卡】抚远黑瞎子岛+淡水鱼博物馆2-6人小团纯玩一日游\n\n': ['¥399起'], '漠河中国醉北点+北极村小众纯玩+大环线2-6人小团三日游\n\n': ['¥650起']}",佳木斯
"佳木斯市水源山公园Shuiyuanshan Park (North Gate)","景区暂时停业，详情请以景区公示为准；原开放时间夏令6:00-18:00，冬令7:30-16:00。",4.5,26.4,"免费",佳木斯
"黑瞎子岛Heixiazi Island","全年 08:00-18:00",4.6,3,"{'【东极打卡】抚远黑瞎子岛+淡水鱼博物馆2-6人小团纯玩一日游\n\n': ['¥399起'], '边境东极宝塔+黑瞎子岛+淡水鱼馆2-6人拼车纯玩小团一日游\n\n': ['¥399起']}",佳木斯
"佳木斯失恋博物馆Jiamusi Shilian Museum","全年9:00-20:00",3.8,2,"29元",佳木斯
"槟榔谷Binlang Ethnic Village","全年 08:30-18:00",4.4,3.5,"{'槟榔谷门票成人票\n\n': ['¥94起'], '槟榔谷黎苗文化区门票儿童票\n\n': ['¥48起'], '槟榔谷黎苗文化区门票学生票\n\n': ['¥48起']}",保亭
"保亭常青茶溪谷Baoting Evergreen Tea Valley","8:30-18:00；最晚取票入园时间：17:00；具体开放时间以景区公示为准。",3.8,3.5,"{'保亭常青茶溪谷门票+观光车票成人票\n\n': ['¥58起'], '保亭常青茶溪谷门票+观光车票大小同价\n\n': ['¥58起'], '保亭常青茶溪谷门票+往返车票成人票\n\n': ['¥58起']}",保亭
"神玉岛Shenyu Island","8:30-17:30；具体开放时间以景区公示为准。",4.5,12,"{'神玉岛门票成人票\n\n': ['¥52起'], '神玉岛门票优待票\n\n': ['¥33起'], '神玉岛门票+观光车票+游湖票成人票\n\n': ['¥108起']}",保亭
"呀诺达雨林文化旅游区Yanoda Rainforest Cultural Tourism Zone","全年 08:30-18:00",4.6,108,"{'呀诺达雨林文化旅游区门票+游览车+鹦鹉表演+萌宠乐园票成人票\n\n': ['¥168起'], '呀诺达雨林文化旅游区门票+游览车票儿童票\n\n': ['¥114起'], '呀诺达雨林文化旅游区门票+游览车票老人票\n\n': ['¥114起']}",保亭
"七仙岭温泉国家森林公园Qixianling (Seven Fairies Ridge) Hot Spring National Forest Park","7:00-17:00",4.5,72,"{'七仙岭温泉国家森林公园门票成人票\n\n': ['¥35起'], '七仙岭温泉国家森林公园门票儿童票\n\n': ['¥23起'], '七仙岭温泉国家森林公园门票学生票\n\n': ['¥23起']}",保亭
"七仙岭温泉","08:00-22:30",5,6,"30元",保亭
"哇哎噜玻璃观景平台I Love You Glass Observation Deck",,4.4,0.75,"具体请以景区现场为准",保亭
"兰花溪景观区Orchid Creek Scenic Area","具体开放时间请咨询景区",4,0.35,"此景点在呀诺达雨林文化旅游区景区内，通用于呀诺达雨林文化旅游区门票。如需入园游玩，请购买呀诺达景区门票。",保亭
"幸福天道The Heavenly Way of Happiness","具体开放时间请咨询景区",5,0.35,"此景点在呀诺达雨林文化旅游区景区内，通用于呀诺达雨林文化旅游区门票。如需入园游玩，请购买呀诺达景区门票。",保亭
"三道谷Sandao Valley","全年 08:30-17:00",4.7,3.5,"此景点在呀诺达雨林文化旅游区景区内，通用于呀诺达雨林文化旅游区门票。如需入园游玩，请购买呀诺达景区门票。",保亭
"雨林谷Rainforest Valley","全年 8:30-17:00",4.6,3.5,"此景点在呀诺达雨林文化旅游区景区内，通用于呀诺达雨林文化旅游区门票。如需入园游玩，请购买呀诺达景区门票。",保亭
"梦幻谷Meng Huan Gu","全年 8:30-17:00",4.5,3.5,"此景点在呀诺达雨林文化旅游区景区内，通用于呀诺达雨林文化旅游区门票。如需入园游玩，请购买呀诺达景区门票。",保亭
"白石山世界地质公园Baishishan World Geopark","8:00-18:00",4.6,12,"{'白石山世界地质公园门票+东门祥云门往返索道门票成人票\n\n': ['¥260起'], '白石山世界地质公园+东门祥云门往返索道票学生票\n\n': ['¥132起'], '白石山世界地质公园+东门祥云门往返索道票老人票\n\n': ['¥70起']}",保定
"白洋淀风景区Baiyang Lake","01/01-12/31 07:00-16:30",4.3,144,"{'白洋淀电子讲解门票大小同价\n\n': ['¥0.6起']}",保定
"野三坡Ye Sanpo","全年 07:30-16:30",4.7,144,"{'野三坡百里峡门票成人票\n\n': ['¥50起'], '野三坡鱼谷洞门票成人票\n\n': ['¥32.5起'], '野三坡手机智能讲解（不含门票）服务大小同价\n\n': ['¥5.3起']}",保定
"百里峡Bailixia","全年 07:30-17:00",4.6,4,"{'野三坡百里峡门票成人票\n\n': ['¥50起']}",保定
"清西陵Western Qing Tombs","营业状态调整频繁，建议提前咨询景区。 开放时间：04/01-10/31 08:00-17:30;11/1-3/31 08:30-17:00",4.6,108,"{'清西陵门票成人票\n\n': ['¥78.1起'], '清西陵门票老人票\n\n': ['¥40起'], '清西陵门票优待票\n\n': ['¥40起']}",保定
"狼牙山Langya (Wolf’s Tooth) Mountain","夏令时  周一至周日   07:00至17:00 冬令时  周一至周日   07:30至16:00",4.6,5,"{'狼牙山门票成人票\n\n': ['¥78起'], '狼牙山门票儿童票\n\n': ['¥40起'], '狼牙山门票学生票\n\n': ['¥40起']}",保定
"古莲花池Ancient Lotus Flower Pond","8:00-17:30",4.5,1.5,"{'古莲花池电子讲解票大小同价\n\n': ['¥0.3起']}",保定
"荷花大观园Lotus Grand View Garden","05/01-10/31 08:00-18:00",4.4,2.5,"大观园门票50元/人入淀费40元/人",保定
"直隶总督署Government Department","9:00-17:00，16:30停止入场",4.5,1.5,"20元次",保定
"北岳庙Beiyue Temple","全年 08:30-17:00",4.6,1.5,"{'北岳庙门票成人票\n\n': ['¥28.8起'], '北岳庙门票优待票\n\n': ['¥19起'], '北岳庙电子导览服务大小同价\n\n': ['¥6起']}",保定
"定州贡院Dingzhou Test Hall","全年 08:00-17:00",4.5,1,"{'定州贡院手机智能导游讲解服务大小同价\n\n': ['¥7起']}",保定
"冉庄地道战遗址Ranzhuang Tunnel Warfare Site","周二-周日9:00-16:30，周一闭馆。",4.5,3,"免费开放",保定
"鱼谷洞泉自然风景区Yugudong Natural Scenic Area","8:00-17:00",4.2,2,"65元",保定
"西胜沟Xishenggou Gorge","6:00-18:00",4.3,12,"{'西胜沟门票成人票\n\n': ['¥35起'], '西胜沟电子导览服务大小同价\n\n': ['¥5起']}",保定
"十瀑峡Shipu Canyon","5月1日-10月31日7:00-18:00(16:00停止入场）；11月1日-次年4月30日8:30-17:30(15:30停止入场）。",4.2,3,"{'十瀑峡门票成人票\n\n': ['¥42起'], '十瀑峡电子导览服务大小同价\n\n': ['¥7起']}",保定
"天生桥风景区Tianshengqiao Scenic Area","8:00-16:00",4.5,72,"{'天生桥风景区门票成人票\n\n': ['¥64.3起']}",保定
"白洋淀文化苑Baiyangdian Culture Yuan","全年 07:00-16:30",3.7,2.5,"{'白洋淀文化苑手机导游(不含门票)地图、语音讲解、路线票大小同价\n\n': ['¥10起']}",保定
"满城汉墓Mancheng Han Tomb","8:30-17:00",4.3,2.5,"{'满城汉墓电子讲解票大小同价\n\n': ['¥0.5起']}",保定
"易水湖景区Yishui Lake","全年 08:00-17:00;全年 08:00-17:30",4.5,2,"{'易水湖门票+船票成人票\n\n': ['¥80起'], '易水湖门票+船票优待票\n\n': ['¥80起'], '易水湖电子导览服务大小同价\n\n': ['¥6起']}",保定
"龙门天关The Natural Pass of Longmen (North Gate)","8:00-17:00",3.8,2,"55元",保定
"灵山聚龙洞Lingshan Julong Cave","全年 8:30-17:00",4.4,2.5,"{'灵山聚龙洞门票成人票\n\n': ['¥34.7起'], '灵山聚龙洞门票优待票\n\n': ['¥20起']}",保定
"淮军公所Hua Army Office","景区已封闭，目前仅可在墙外参观。",3.9,1,"景区已封闭，目前仅可在墙外参观。",保定
"腰山王氏庄园Yaoshan Wangshi Villa","8:30-17:20",4.2,1.5,"具体收费情况以景区现场公示为主。",保定
"白洋淀之窗博物馆Baiyangdian Zhi Chuang Museum",,5,2.5,"包含在鸳鸯岛景区门票中",保定
"云蒙山皇家森林公园Yunmengshan Royal Forest Park","8:00-17:00",4.2,12,"{'云蒙山皇家森林公园电子导览服务大小同价\n\n': ['¥9起']}",保定
"永福寺Yongfu Temple","4月1日-10月31日：8:00-17:00，11月1日-次年3月31日：8:30-17:00。",4.3,1.5,"淡季（11月1日-次年3月31日）：15元（下午14:00后才可才购买单此景点门票），通票80元；旺季（4月1日-10月31日）：15元（下午14:00后才可才购买单此景点门票），通票108元。",保定
"百花岭生态旅游区Baihualing Ecology Tourist Zone","全年 全天开放",5,1,"{'腾冲精选景区一日游（线路任选，零等待 出行自由 司机兼向导）\n\n': ['¥280起']}",保山
"腾冲热海风景区Tengchong Thermal Sea Scenic Area","全年 09:00-18:00",4.6,3,"{'腾冲热海旅游区门票成人票\n\n': ['¥50起'], '腾冲热海风景区门票+景区往返直通车票成人票\n\n': ['¥130起'], '腾冲热海旅游区门票+双程游览车+浴谷温泉+大滚锅饵丝+火山票成人票\n\n': ['¥280起']}",保山
"和顺古镇Heshun Ancient Town","古镇全天开放；景区内景点开放时间详见景区公示。",4.5,108,"{'和顺古镇门票成人票\n\n': ['¥55起'], '和顺柏联温泉门票成人票\n\n': ['¥236起'], '和顺柏联温泉门票儿童票\n\n': ['¥149起']}",保山
"火山地热国家地质公园Tengchong Volcanic Geothermal National Geological Park","8:00-18:00",4.2,108,"{'火山地热国家地质公园门票大小同价\n\n': ['¥35起'], '腾冲热气球飞行俱乐部热气球飞行体验大小同价\n\n': ['¥280起'], '腾冲热气球飞行俱乐部-动力三角翼飞行体验大小同价\n\n': ['¥380起']}",保山
"北海湿地Beihai Wetlands","8:30-19:00",4.4,12,"{'腾冲北海湿地门票成人票\n\n': ['¥55起'], '腾冲北海湿地门票优待票\n\n': ['¥27.5起'], '北海湿地门票+天空之境自拍体验券成人票\n\n': ['¥65起']}",保山
"黑鱼河Heiyu River","随火山公园开放时间8:00-19:00",4.1,1,"{'火山地热国家地质公园门票大小同价\n\n': ['¥35起'], '【实惠包车游】云南腾冲订制包车一日游（景区任选 上门接送）\n\n': ['¥448起'], '腾冲精选景区一日游（线路任选，零等待 出行自由 司机兼向导）\n\n': ['¥280起']}",保山
"来凤山","8:00--18:00",4.2,3.5,"{'来凤山国家森林公园手机导游服务成人票\n\n': ['¥7起']}",保山
"叠水河瀑布Dieshuihe Waterfall","8:00-17:00",4.4,2.5,"{'叠水河瀑布门票成人票\n\n': ['¥9起'], '叠水河瀑布门票优待票\n\n': ['¥7起'], '叠水河景区电子导览服务大小同价\n\n': ['¥7起']}",保山
